Ski holiday destination,Bluebird day,,,,,,,,,,,,,,,,,,,,,,,
,Nov,,,,Dec,,,,Jan,,,,Feb,,,,Mar,,,,Apr,,,
,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
Val Thorens,3.5,4.2,3.6,4.7,4.9,5.3,4.5,3.9,5.1,5,5.9,5,5.1,5.4,4.6,4.5,5.6,4.7,4.8,5.8,4.8,4.4,4.2,3.7
Tignes,3,3,3.4,4.4,4.7,5,4.2,3.4,4.6,5,5.5,4.9,4.6,5.3,4.5,4.6,5.5,4.6,4.4,5.3,4.1,3.3,3.4,2.5
Chamonix,2.5,2.7,2.8,4.1,4.7,4.9,3.7,3.5,4.6,4.9,5.4,4.5,4.5,5.1,4.7,4.2,5.2,4,4.2,4.8,3.6,3.1,3.5,2.4
Val d'Isère,3.7,3.6,4,4.6,4.8,5.2,4.3,3.8,4.7,5.3,5.8,5,5.1,5.6,4.8,4.9,5.9,4.9,4.8,5.6,5,4.3,4.2,3.6
La Plagne,2,2.3,2.4,3.7,4.2,4.4,3.6,3,4.3,4.7,5.4,4.6,4.2,4.9,4.2,4.2,4.9,3.6,3.6,3.6,2.9,2.7,2.4,1.6
Méribel,2.1,2.3,2.5,3.5,3.7,4.5,3.4,2.9,4.4,4.7,5.3,4.4,4,4.9,4,3.9,4.6,3.2,3.1,3.4,2.7,2.3,2,1.6
Les Arcs,2.7,2.7,2.7,4,4.6,4.6,3.6,3.3,4.5,4.9,5.5,4.7,4.3,5.3,4.6,4.4,5.4,4.4,3.9,4.4,3.5,3,3.3,2
Avoriaz,1,1.6,1.6,2.5,2.9,3.6,2.5,2.1,3.4,4.1,4.3,3.1,3.2,3.4,2.7,2.6,3.3,2.2,2.1,2.3,1.6,1.1,0.9,0.8
Les Menuires,2,2.2,2.3,3.4,3.4,4.1,3.5,3,4.2,4.4,5.1,4.2,4.1,4.7,3.6,4,4.5,3.3,3.3,2.9,2.8,2.3,1.9,1.4
Morzine,0.5,1.3,0.9,2.3,2.7,3.3,2.2,2,3.1,3.5,4.1,2.8,3,3,2.3,2.5,2,1.5,1.8,1.4,1.2,0.8,0.7,0.5
Les Deux Alpes,2.9,2.9,2.9,3.8,5.2,4.7,4.1,3.3,5,4.9,5.3,4.4,4.6,5.4,4.5,4.6,5.4,4.2,3.7,4.8,3.5,3.3,3.5,2.3
Serre Chevalier,1,1.5,1.5,2.8,3.3,3.5,2.9,2.3,3.3,3.7,4.2,3.4,3.7,4,2.7,2.9,3.8,2.5,2.2,1.9,1.6,1.4,1.1,0.8
Alpe d'Huez,2.4,2.3,2.1,3,4,4.2,3.5,2.9,3.1,4.5,5.2,3.9,4,4.4,3.8,3.7,4.5,3.3,2.9,3.3,2.3,2.4,2.2,1.6
Flaine,2,1.8,2,3.1,3.4,4.4,3,2.8,4,4.2,4.6,3.7,3.5,3.9,3.5,3.3,4.2,3,3.1,2.8,2.2,1.8,1.7,1.5
Courchevel,1.6,2.1,1.7,3,3.2,3.9,3.2,2.8,3.9,4.3,5,3.9,4,4.3,3.6,3.5,4.4,2.6,2.7,2.6,2.4,1.8,1.5,0.9
La Clusaz,1.3,1.9,1.5,2.4,2.9,3.9,3.1,2.3,3.6,4.1,4.6,3.4,3.3,3.5,2.8,2.7,3.3,2.5,2.1,2.3,1.7,1.4,1.1,0.9
La Rosière,2.1,2.3,2.5,3.6,4.2,4.4,3.4,3.1,4.4,4.5,5.3,4.5,3.8,4.9,4.1,4.2,5.1,3.9,3.8,3.7,3.1,2.6,2.4,1.6
Montgenèvre,1.1,1.6,1.4,2.6,3.4,3.4,2.8,2.3,3.3,3.5,4.2,3.3,3.6,3.9,3.1,3,4.2,2.9,2.3,2,1.7,1.2,1,0.4
Val Cenis,1.3,2.1,2.2,3.2,3.9,4,3.1,2.7,4.1,4.3,4.9,3.7,4.1,4.4,3.5,3.7,4.6,3.1,2.7,3,2.6,2.2,1.5,1.1
St Martin de Belleville,2.1,2.2,2.2,3.2,3.5,4.2,3,2.7,4.3,4.6,5.3,4.3,3,4.5,4,3.8,4.4,3,3,2.9,2.7,2.2,1.8,1.3
Isola 2000,0.8,1.5,1.9,3.1,3.9,3.4,3.1,2.2,3.5,3.5,4,3.9,3.8,4.3,3.5,3.4,4.4,2.6,2.7,2.6,2.2,2,1.9,0.7
Risoul,1.9,2.1,2.3,3.5,4.3,4.3,3.8,2.7,4.4,4.3,5,4.1,4.2,5.2,4,3.7,5,3.4,3.4,3.5,3.1,2.3,2.4,1.2
Valmorel,1.4,1.6,1.5,2.7,3.1,3.8,3,2.5,3.5,4.2,4.7,3.6,3.4,3.8,3,3.1,3.6,2.3,2.3,2.2,1.9,1.4,1,0.7
Les Gets,0.7,1.5,1.2,2.4,2.7,3.5,2.2,1.7,3.1,3.5,4,3,3,3.4,2.2,2.4,2.7,1.8,1.8,1.4,1.3,0.9,0.8,0.6
Vaujany,1.5,1.8,1.6,2.3,3.5,3.4,3,2.2,3.4,4.1,4.2,3.4,3.5,3.8,2.8,3,3.8,2.8,2.5,2.1,2,1.6,1.2,1.1
Les Saisies,0.8,1.2,0.9,2.4,2.5,3.4,2.3,1.9,3,3.5,4,3.3,2.8,3,2.3,2.1,2.5,1.4,1.5,1.4,1,0.7,0.6,0.5
Les Houches,0.2,0.6,0.4,2,2.3,3.1,2,1.2,2.6,2.6,3.7,2.3,2.1,2.6,1.6,1.4,1.9,0.8,1.2,0.8,0.7,0.3,0.3,0.5
Saint Gervais les Bains,1.3,1.7,1.5,2.6,3.1,3.9,2.7,2.3,3.7,3.9,4.6,3.1,3.5,3.8,2.8,3.1,3.7,2.3,2.4,2.3,2.1,1.3,1.2,1.1
Les Carroz,0.8,1.4,1,2.4,2.6,3.6,2.6,1.8,3.1,3.3,4.1,3.1,3,3.3,2.4,2.5,2.7,1.9,1.9,1.3,1.4,0.9,0.8,0.7
Les Orres,1.3,1.7,1.4,2.8,3.3,3.7,3,2.6,3.6,3.9,4.5,3.6,3.4,4.5,3.5,3,4.3,2.9,2.5,2.3,2,1.6,1.4,0.9
